potentiometer0,potentiometer1,potentiometer2,potentiometer3,encoder0,encoder1,encoder2,encoder3
-1.05043191332245,-0.6960380716286526,0.0076614331550838854,-1.3922936621010038,-1.0516023258963185,-0.694704310479128,0.0056221391199999995,-1.3953475850999744
-1.0502896759132725,-0.6959455459447481,0.007652209164391854,-1.3923485712663242,-1.0516023258963185,-0.694704310479128,0.00561856724,-1.3953475850999744
-1.050360794617861,-0.6960380716286526,0.007633761183007959,-1.3924583895969649,-1.0516023258963185,-0.694704310479128,0.00561499536,-1.3953475850999744
-1.05043191332245,-0.6960380716286526,0.007652209164391854,-1.3923485712663242,-1.0516023258963185,-0.694704310479128,0.00561499536,-1.3953475850999744
-1.050360794617861,-0.6960843344706049,0.007642985173699934,-1.3924034804316445,-1.0516023258963185,-0.694704310479128,0.00561142348,-1.3953475850999744
-1.05043191332245,-0.6960380716286526,0.007642985173699934,-1.392238752935683,-1.0516023258963185,-0.694704310479128,0.0056078516,-1.3953475850999744
-1.0502185572086837,-0.6960380716286526,0.007670657145775861,-1.3922936621010038,-1.0516023258963185,-0.694704310479128,0.00560427972,-1.3953475850999744
-1.050360794617861,-0.6960380716286526,0.007633761183007959,-1.3924583895969649,-1.0516023258963185,-0.694704310479128,0.00560070784,-1.3953475850999744
-1.05043191332245,-0.6960380716286526,0.007642985173699934,-1.3924034804316445,-1.0516023258963185,-0.694704310479128,0.00559713596,-1.3953475850999744
-1.0502896759132725,-0.6960380716286526,0.007615313201623952,-1.392238752935683,-1.0516023258963185,-0.694704310479128,0.00559356408,-1.3953475850999744
-1.0502896759132725,-0.6959918087867003,0.007633761183007959,-1.3923485712663242,-1.0516023258963185,-0.694704310479128,0.00559356408,-1.3953475850999744
-1.05043191332245,-0.6959455459447481,0.007633761183007959,-1.3924583895969649,-1.0516023258963185,-0.694704310479128,0.0055864203199999995,-1.3953475850999744
-1.05043191332245,-0.6959455459447481,0.007633761183007959,-1.392238752935683,-1.0516023258963185,-0.694704310479128,0.00558284844,-1.3953475850999744
-1.0505030320270385,-0.6959918087867003,0.007633761183007959,-1.3924034804316445,-1.0516023258963185,-0.694704310479128,0.00557927656,-1.3953475850999744
